name,url,uname,followers,image_path
Eva Longoria,http://twitter.com/EvaLongoria,EvaLongoria,7079121,images/EvaLongoria.jpg
Dwayne Johnson (The Rock),http://twitter.com/TheRock,TheRock,14651021,images/TheRock.jpeg
Jessica Alba,http://twitter.com/jessicaalba,jessicaalba,8982204,images/jessicaalba.jpg
Neil Patrick Harris,http://twitter.com/ActuallyNPH,ActuallyNPH,26450958,images/ActuallyNPH.jpg
Zachary Quinto,http://twitter.com/ZacharyQuinto,ZacharyQuinto,1025471,images/ZacharyQuinto.jpeg
David Caruso,http://twitter.com/DavidCaruso1,DavidCaruso1,109512,images/DavidCaruso1.jpeg
Frankie Muniz,http://twitter.com/FRANKIEMUNIZ,FRANKIEMUNIZ,328297,images/FRANKIEMUNIZ.jpg
Sean Patrick Flanery,http://twitter.com/seanflanery,seanflanery,81899,images/seanflanery.jpg
Patrick Dempsey,http://twitter.com/PatrickDempsey,PatrickDempsey,1435559,images/PatrickDempsey.jpg
Kevin Spacey,http://twitter.com/KevinSpacey,KevinSpacey,4310351,images/KevinSpacey.jpg
Christina Applegate,http://twitter.com/1capplegate,1capplegate,1455356,images/1capplegate.jpeg
Greg Grunberg,http://twitter.com/greggrunberg,greggrunberg,1271192,images/greggrunberg.jpg
Danny Masterson,http://twitter.com/dannymasterson,dannymasterson,1395785,images/dannymasterson.jpg
Kiefer Sutherland,http://www.twitter.com/RealKiefer,RealKiefer,519126,images/RealKiefer.jpg
Whoopi Goldberg,http://twitter.com/WhoopiGoldberg,WhoopiGoldberg,1511393,images/WhoopiGoldberg.jpg
Charlie Sheen,http://twitter.com/charliesheen,charliesheen,10970488,images/charliesheen.jpg
Eddie Izzard,http://twitter.com/EddieIzzard,EddieIzzard,4462972,images/EddieIzzard.jpg
Allyson Hannigan,http://www.twitter.com/alydenisof,alydenisof,1124678,images/alydenisof.jpeg
Matthew Perry,http://www.twitter.com/MatthewPerry,MatthewPerry,1533065,images/MatthewPerry.jpg
Rumer Willis,http://twitter.com/TheRue,TheRue,275688,images/TheRue.jpg
Rainn Wilson,http://twitter.com/rainnwilson,rainnwilson,4469422,images/rainnwilson.jpg
Lisa Rinna,http://twitter.com/LisaRinna,LisaRinna,597422,images/LisaRinna.jpg
Jeremy Piven,http://twitter.com/jeremypiven,jeremypiven,2354967,images/jeremypiven.jpg
Shannon Elizabeth,http://twitter.com/ShannonElizab,ShannonElizab,598057,images/ShannonElizab.png
Alyssa Milano,http://www.twitter.com/alyssa_milano,alyssa_milano,3706623,images/alyssa_milano.jpg
Tom Felton (Draco Malfoy from Harry Potter),http://twitter.com/TomFelton,TomFelton,2787888,images/TomFelton.jpg
Masiela Lusha,http://twitter.com/Masiela,Masiela,116364,images/Masiela.jpeg
Rose McGowan,http://twitter.com/rosemcgowan,rosemcgowan,934228,images/rosemcgowan.jpg
Queen Latifah,http://twitter.com/IAMQueenLatifah,IAMQueenLatifah,7957784,images/IAMQueenLatifah.jpg
Ari Graynor,http://twitter.com/AGraynor,AGraynor,29290,images/AGraynor.jpg
Levar Burton,http://twitter.com/levarburton,levarburton,1989306,images/levarburton.jpg
Drew Carey,http://twitter.com/DrewFromTV,DrewFromTV,593863,images/DrewFromTV.jpg
Martha Stewart,http://www.twitter.com/marthastewart,marthastewart,3623231,images/marthastewart.jpeg
Bobby Flay,http://twitter.com/bflay,bflay,2642428,images/bflay.jpeg
Bob Vila,http://twitter.com/BobVila,BobVila,897530,images/BobVila.jpg
Chef Jamie Oliver,http://twitter.com/jamieoliver,jamieoliver,6598266,images/jamieoliver.jpg
Emeril Lagasse,http://twitter.com/Emeril,Emeril,1063972,images/Emeril.jpg
Paula Deen,http://twitter.com/Paula_Deen,Paula_Deen,1281696,images/Paula_Deen.jpg
Cesar Millan,http://twitter.com/cesarmillan,cesarmillan,1052453,images/cesarmillan.jpg
Ellen Degeneres,http://www.twitter.com/TheEllenShow,TheEllenShow,80028322,images/TheEllenShow.jpg
Jimmy Fallon,http://twitter.com/jimmyfallon,jimmyfallon,51785607,images/jimmyfallon.jpg
Oprah Winfrey,http://twitter.com/oPRAH,oPRAH,43199905,images/oPRAH.jpg
Ryan Seacrest,http://www.twitter.com/RyanSeacrest,RyanSeacrest,15607989,images/RyanSeacrest.jpg
Anderson Cooper,http://www.twitter.com/andersoncooper,andersoncooper,9997763,images/andersoncooper.jpg
Dr. Drew Pinsky,http://www.twitter.com/drdrew,drdrew,2748126,images/drdrew.png
Nick Cannon,http://twitter.com/NickCannon,NickCannon,4788821,images/NickCannon.jpg
Tyra Banks,http://twitter.com/tyrabanks,tyrabanks,14375894,images/tyrabanks.jpg
Stephen Colbert,http://www.twitter.com/Stephenathome,Stephenathome,18839575,images/Stephenathome.jpg
Joel McHale,http://www.twitter.com/joelMcHale,joelMcHale,3414193,images/joelMcHale.jpg
Tony Robbins,http://www.twitter.com/tonyrobbins,tonyrobbins,3165885,images/tonyrobbins.jpg
Kevin Smith,http://twitter.com/ThatKevinSmith,ThatKevinSmith,3170418,images/ThatKevinSmith.jpg
Ron Howard,http://twitter.com/RealRonHoward,RealRonHoward,2554600,images/RealRonHoward.jpg
